language,model,year,response,response1,response2,response3,response4,response5,response6,response7
Spanish,anthropic,1803," 1. Venta de Luisiana 
2. La revolución de Haití 
3. Muere Toussaint Louverture 
4. Se establece el Tribunal Supremo de Justicia en España
5. Se funda el primera diario en Chile, La Aurora ", 1. Venta de Luisiana ,2. La revolución de Haití ,3. Muere Toussaint Louverture ,4. Se establece el Tribunal Supremo de Justicia en España,"5. Se funda el primera diario en Chile, La Aurora ",,
Spanish,anthropic,1803," 1. Vento del Tratado de Amiens
2. Compra de Louisiana 
3. Rebelión de Robert Emmet 
4. Inauguración del Canal Erie
5. Inicio de la Revolución Haitiana", 1. Vento del Tratado de Amiens,2. Compra de Louisiana ,3. Rebelión de Robert Emmet ,4. Inauguración del Canal Erie,5. Inicio de la Revolución Haitiana,,
Spanish,anthropic,1803," 1. Venta de Louisiana 
2. Guerra de las Naranjas
3. Supresión de la esclavitud en Dinamarca 
4. Rebelión de Robert Emmet en Irlanda
5. Estreno de la ópera ""William Tell"" de Gioachino Rossini", 1. Venta de Louisiana ,2. Guerra de las Naranjas,3. Supresión de la esclavitud en Dinamarca ,4. Rebelión de Robert Emmet en Irlanda,"5. Estreno de la ópera ""William Tell"" de Gioachino Rossini",,
Spanish,anthropic,1803," 1. Venta de Luisiana 
2. Inicio de la Guerra Napoleónica
3. Rebelión de Robert Emmet en Irlanda
4. William Wordsworth publica su poemario ""Ballads and Lyrical Ballads""
5. Fundación de Ohio como estado de EEUU.", 1. Venta de Luisiana ,2. Inicio de la Guerra Napoleónica,3. Rebelión de Robert Emmet en Irlanda,"4. William Wordsworth publica su poemario ""Ballads and Lyrical Ballads""",5. Fundación de Ohio como estado de EEUU.,,
Spanish,anthropic,1803," 1. Venta de Louisiana 
2. Inicio de la expedición de Lewis y Clark
3. Inicio de la rebelión de Túpac Amaru II
4. William Pitt el Joven se convierte en Primer Ministro de Gran Bretaña.
5. Se funda Ohio como el 17 estado de los EE.UU.", 1. Venta de Louisiana ,2. Inicio de la expedición de Lewis y Clark,3. Inicio de la rebelión de Túpac Amaru II,4. William Pitt el Joven se convierte en Primer Ministro de Gran Bretaña.,5. Se funda Ohio como el 17 estado de los EE.UU.,,
Spanish,anthropic,1848," 1. Revoluciones de 1848 en Europa 
2. Tratado de Guadalupe Hidalgo
3. Descubrimiento de oro en California
4. Guerra de interdependencia en Hungría
5. Año de los corn laws en Reino Unido", 1. Revoluciones de 1848 en Europa ,2. Tratado de Guadalupe Hidalgo,3. Descubrimiento de oro en California,4. Guerra de interdependencia en Hungría,5. Año de los corn laws en Reino Unido,,
Spanish,anthropic,1848," 1. La revolución de 1848 en Francia 
2. La primavera de los pueblos en Europa
3. Revoluciones de 1848 en el Imperio Austrohúngaro
4. Revuelta de Young Irelander 
5. Guerra civil danesa - guerra de los Ducados de Schleswig y Holstein", 1. La revolución de 1848 en Francia ,2. La primavera de los pueblos en Europa,3. Revoluciones de 1848 en el Imperio Austrohúngaro,4. Revuelta de Young Irelander ,5. Guerra civil danesa - guerra de los Ducados de Schleswig y Holstein,,
Spanish,anthropic,1848," 1. Primavera de los Pueblos 
2. Revolución Francesa de 1848
3. Guerra de la Independencia Italiana 
4. Revueltas liberales en el Imperio Austríaco
5. Revolución Alemana de 1848", 1. Primavera de los Pueblos ,2. Revolución Francesa de 1848,3. Guerra de la Independencia Italiana ,4. Revueltas liberales en el Imperio Austríaco,5. Revolución Alemana de 1848,,
Spanish,anthropic,1848," 1. Primavera de los Pueblos 
2. Revoluciones de 1848
3. el fin del Reino Alemán
4. el fin de la República de Cracovia
5. Guerra de la Independencia de Hungría", 1. Primavera de los Pueblos ,2. Revoluciones de 1848,3. el fin del Reino Alemán,4. el fin de la República de Cracovia,5. Guerra de la Independencia de Hungría,,
Spanish,anthropic,1848," 1. La primavera de los pueblos 
2. Revoluciones de 1848 en el Imperio Austríaco
3. Revolución francesa de 1848
4. Unificación de Italia
5. Publicación del Manifiesto Comunista", 1. La primavera de los pueblos ,2. Revoluciones de 1848 en el Imperio Austríaco,3. Revolución francesa de 1848,4. Unificación de Italia,5. Publicación del Manifiesto Comunista,,
Spanish,anthropic,1868," 1. Finalización de la Guerra Boshin en Japón.
2. Impeachment del presidente estadounidense Andrew Johnson.  
3. Publicación de la 14a Enmienda a la Constitución de los Estados Unidos.
4. Asesinato del líder argentino Bartolomé Mitre.
5. Inauguración del Puente Victoria en Montreal, Canadá.", 1. Finalización de la Guerra Boshin en Japón.,2. Impeachment del presidente estadounidense Andrew Johnson.  ,3. Publicación de la 14a Enmienda a la Constitución de los Estados Unidos.,4. Asesinato del líder argentino Bartolomé Mitre.,"5. Inauguración del Puente Victoria en Montreal, Canadá.",,
Spanish,anthropic,1868," 1. Impeachment del presidente Andrew Johnson
2. Compra de Alaska por Estados Unidos 
3. Guerra Boshin en Japon
4. Revolución Meiji en Japon
5. Final de la Guerra de Secesión en Estados Unidos", 1. Impeachment del presidente Andrew Johnson,2. Compra de Alaska por Estados Unidos ,3. Guerra Boshin en Japon,4. Revolución Meiji en Japon,5. Final de la Guerra de Secesión en Estados Unidos,,
Spanish,anthropic,1868," 1. Impeachment del presidente Andrew Johnson 
2. Final de la Guerra Boshin en Japón
3. Inicio de la era Meiji en Japón 
4. Anexión de las Midway Atolls por los Estados Unidos
5. Asesinato de Michael Obrenovic III, Príncipe de Serbia", 1. Impeachment del presidente Andrew Johnson ,2. Final de la Guerra Boshin en Japón,3. Inicio de la era Meiji en Japón ,4. Anexión de las Midway Atolls por los Estados Unidos,"5. Asesinato de Michael Obrenovic III, Príncipe de Serbia",,
Spanish,anthropic,1868," 1. Restauración de la monarquía en España. 
2. Impeachment del presidente Andrew Johnson.
3. Bombardeo de Edo (Tokyo) en la guerra Boshin en Japón.
4. Inicio de la guerra de los Diez Años en Cuba.
5. Inauguración de la Línea de Ferrocarril Transcontinental en Estados Unidos.", 1. Restauración de la monarquía en España. ,2. Impeachment del presidente Andrew Johnson.,3. Bombardeo de Edo (Tokyo) en la guerra Boshin en Japón.,4. Inicio de la guerra de los Diez Años en Cuba.,5. Inauguración de la Línea de Ferrocarril Transcontinental en Estados Unidos.,,
Spanish,anthropic,1868," 1. Asesinato de Maximiliano I de México
2. Asesinato de Michael Barrett
3. Impeachment de Andrew Johnson
4. Guerra franco-prusiana 
5. Compra de Alaska a Rusia", 1. Asesinato de Maximiliano I de México,2. Asesinato de Michael Barrett,3. Impeachment de Andrew Johnson,4. Guerra franco-prusiana ,5. Compra de Alaska a Rusia,,
Spanish,anthropic,1910," 1. La muerte del rey Eduardo VII del Reino Unido 
2. La revolución mexicana comenzó 
3. El hallazgo de la tumba del faraón Amenhotep II en Egipto
4. El gran incendio declo en el bosque nacional de Coconino en Arizona.
5. El ballet clásico El Lago de los Cisnes se estrenó por primera vez por los Ballets Rusos en San Petersburgo.", 1. La muerte del rey Eduardo VII del Reino Unido ,2. La revolución mexicana comenzó ,3. El hallazgo de la tumba del faraón Amenhotep II en Egipto,4. El gran incendio declo en el bosque nacional de Coconino en Arizona.,5. El ballet clásico El Lago de los Cisnes se estrenó por primera vez por los Ballets Rusos en San Petersburgo.,,
Spanish,anthropic,1910," 1. La llegada del Cometa Halley 
2. Fundación de la Oficina Internacional del Trabajo (OIT)
3. El estallido de la Revolución Mexicana.
4. La unificación de las colonias británicas de Australia en la Mancomunidad de Australia.  
5. El comienzo de la guerra de los Balcanes entre los imperios de Austria-Hungría y el Imperio otomano.", 1. La llegada del Cometa Halley ,2. Fundación de la Oficina Internacional del Trabajo (OIT),3. El estallido de la Revolución Mexicana.,4. La unificación de las colonias británicas de Australia en la Mancomunidad de Australia.  ,5. El comienzo de la guerra de los Balcanes entre los imperios de Austria-Hungría y el Imperio otomano.,,
Spanish,anthropic,1910," 1. La primera celebración del Día Internacional de la Mujer 
2. El estallido de la Revolución Mexicana
3. El Gran Premio de Estados Unidos de Automovilismo 
4. La fundación del Boys Scouts of America 
5. El estreno de la ópera ""Madama Butterfly"" de Puccini", 1. La primera celebración del Día Internacional de la Mujer ,2. El estallido de la Revolución Mexicana,3. El Gran Premio de Estados Unidos de Automovilismo ,4. La fundación del Boys Scouts of America ,"5. El estreno de la ópera ""Madama Butterfly"" de Puccini",,
Spanish,anthropic,1910," 1. Revolución Mexicana 
2. Primera Guerra Mundial
3. Halley's Comet
4. Exposición Internacional de Bruselas
5. Movimiento Scout ", 1. Revolución Mexicana ,2. Primera Guerra Mundial,3. Halley's Comet,4. Exposición Internacional de Bruselas,5. Movimiento Scout ,,
Spanish,anthropic,1910," 1. La Revolución Mexicana 
2. El cometa Halley 
3. El hundimiento del RMS Titanic
4. Se fundó la Girl Scouts of the USA
5. Se inauguró el Estadio de Wrigley Field en Chicago", 1. La Revolución Mexicana ,2. El cometa Halley ,3. El hundimiento del RMS Titanic,4. Se fundó la Girl Scouts of the USA,5. Se inauguró el Estadio de Wrigley Field en Chicago,,
Spanish,anthropic,1950," 1. La Guerra de Corea 
2. El desarrollo de la bomba de hidrógeno 
3. La fundación de la ONUESCO
4. La publicación de 'El Señor de los Anillos' de J.R.R. Tolkien
5. La Copa Mundial de Fútbol de 1950 en Brasil", 1. La Guerra de Corea ,2. El desarrollo de la bomba de hidrógeno ,3. La fundación de la ONUESCO,4. La publicación de 'El Señor de los Anillos' de J.R.R. Tolkien,5. La Copa Mundial de Fútbol de 1950 en Brasil,,
Spanish,anthropic,1950," 1. La Guerra de Corea 
2. El Maccartismo en los Estados Unidos
3. El descubrimiento de la doble hélice de ADN
4. La publicación de 'El Señor de los Anillos' 
5. La inauguración de la Copa Mundial de Fútbol", 1. La Guerra de Corea ,2. El Maccartismo en los Estados Unidos,3. El descubrimiento de la doble hélice de ADN,4. La publicación de 'El Señor de los Anillos' ,5. La inauguración de la Copa Mundial de Fútbol,,
Spanish,anthropic,1950," 1. Guerra de Corea 
2. Aprobación de la ley de derechos civiles en India
3. Invención de la televisión a color 
4. Programa espacial soviético con el Sputnik 1
5. Avance de China en la Guerra Civil", 1. Guerra de Corea ,2. Aprobación de la ley de derechos civiles en India,3. Invención de la televisión a color ,4. Programa espacial soviético con el Sputnik 1,5. Avance de China en la Guerra Civil,,
Spanish,anthropic,1950," 1. La Guerra de Corea
2. Aprobación de la Ley de Derechos Civiles en India 
3. Inicio de la Guerra Fría
4. Crisis de Suez
5. Ascenso al poder de Juan Domingo Perón en Argentina", 1. La Guerra de Corea,2. Aprobación de la Ley de Derechos Civiles en India ,3. Inicio de la Guerra Fría,4. Crisis de Suez,5. Ascenso al poder de Juan Domingo Perón en Argentina,,
Spanish,anthropic,1950," 1. La Guerra de Corea 
2. La inauguración de la Copa Mundial de Fútbol 
3. El descubrimiento de la doble hélice del ADN
4. La publicación de 1984 de George Orwell
5. La inauguración del parque de Disneylandia", 1. La Guerra de Corea ,2. La inauguración de la Copa Mundial de Fútbol ,3. El descubrimiento de la doble hélice del ADN,4. La publicación de 1984 de George Orwell,5. La inauguración del parque de Disneylandia,,
Spanish,anthropic,1966," 1. Guerra de Vietnam 
2. Revolución Cultural China
3. Independencia de Guyana 
4. Independencia de Barbados
5. Luna 10 primer satélite artificial soviético orbitando la luna", 1. Guerra de Vietnam ,2. Revolución Cultural China,3. Independencia de Guyana ,4. Independencia de Barbados,5. Luna 10 primer satélite artificial soviético orbitando la luna,,
Spanish,anthropic,1966," 1. Guerra de Vietnam 
2. Programa espacial soviético Venera 3 llega a Venus 
3. Revolución Cultural China 
4. Indira Gandhi se convierte en Primer Ministro de India
5. Independencia de Guyana", 1. Guerra de Vietnam ,2. Programa espacial soviético Venera 3 llega a Venus ,3. Revolución Cultural China ,4. Indira Gandhi se convierte en Primer Ministro de India,5. Independencia de Guyana,,
Spanish,anthropic,1966," 1. Guerra de Vietnam
2. Revolución Cultural China 
3. Independencia de Guyana
4. Independencia de Barbados
5. Independencia de Botswana", 1. Guerra de Vietnam,2. Revolución Cultural China ,3. Independencia de Guyana,4. Independencia de Barbados,5. Independencia de Botswana,,
Spanish,anthropic,1966," 1. Guerra de Vietnam 
2. Revolución Cultural en China
3. Independencia de Guyana
4. Independencia de Barbados
5. Terremoto de Turquía", 1. Guerra de Vietnam ,2. Revolución Cultural en China,3. Independencia de Guyana,4. Independencia de Barbados,5. Terremoto de Turquía,,
Spanish,anthropic,1966," 1. Guerra de Vietnam 
2. Revolución Cultural China
3. Independencia de Barbados 
4. Golpe de estado en Nigeria
5. Inauguración de la Torre Eiffel en París", 1. Guerra de Vietnam ,2. Revolución Cultural China,3. Independencia de Barbados ,4. Golpe de estado en Nigeria,5. Inauguración de la Torre Eiffel en París,,
Spanish,anthropic,1968," 1. Asesinato de Martin Luther King Jr. 
2. Asesinato de Robert F. Kennedy
3. Manifestaciones estudiantiles en París 
4. Invasión soviética de Checoslovaquia
5. Convención Nacional Demócrata de Chicago", 1. Asesinato de Martin Luther King Jr. ,2. Asesinato de Robert F. Kennedy,3. Manifestaciones estudiantiles en París ,4. Invasión soviética de Checoslovaquia,5. Convención Nacional Demócrata de Chicago,,
Spanish,anthropic,1968," 1. Asesinato de Martin Luther King Jr. 
2. Asesinato de Robert F. Kennedy
3. Protestas estudiantiles en Paris 
4. Primavera de Praga
5. Juegos Olímpicos de México", 1. Asesinato de Martin Luther King Jr. ,2. Asesinato de Robert F. Kennedy,3. Protestas estudiantiles en Paris ,4. Primavera de Praga,5. Juegos Olímpicos de México,,
Spanish,anthropic,1968," 1. Asesinato de Martin Luther King Jr. 
2. Asesinato de Robert F. Kennedy
3. La Primavera de Praga 
4. Masacre de la Plaza de Tlatelolco
5. El Mayo Francés", 1. Asesinato de Martin Luther King Jr. ,2. Asesinato de Robert F. Kennedy,3. La Primavera de Praga ,4. Masacre de la Plaza de Tlatelolco,5. El Mayo Francés,,
Spanish,anthropic,1968," 1. Asesinato de Martin Luther King Jr. 
2. Primavera de Praga
3. Masacre de la Plaza de Tiananmen 
4. Elección de Richard Nixon
5. Protestas estudiantiles en París", 1. Asesinato de Martin Luther King Jr. ,2. Primavera de Praga,3. Masacre de la Plaza de Tiananmen ,4. Elección de Richard Nixon,5. Protestas estudiantiles en París,,
Spanish,anthropic,1968," 1. Asesinato de Martin Luther King Jr. 
2. Asesinato de Robert F. Kennedy
3. Disturbios de 1968 en París 
4. Masacre de la Plaza de las Tres Culturas en México 
5. Lanzamiento de Apollo 8", 1. Asesinato de Martin Luther King Jr. ,2. Asesinato de Robert F. Kennedy,3. Disturbios de 1968 en París ,4. Masacre de la Plaza de las Tres Culturas en México ,5. Lanzamiento de Apollo 8,,
Spanish,anthropic,2020," 1. Pandemia de COVID-19 
2. Incendios forestales en Australia
3. Explosión en Beirut, Líbano
4. Elecciones presidenciales en Estados Unidos 
5. Brexit ", 1. Pandemia de COVID-19 ,2. Incendios forestales en Australia,"3. Explosión en Beirut, Líbano",4. Elecciones presidenciales en Estados Unidos ,5. Brexit ,,
Spanish,anthropic,2020," 1. La pandemia de COVID-19 
2. Incendios forestales sin precedentes en Australia
3. El asesinato de George Floyd y las protestas mundiales contra la brutalidad policial 
4. Elecciones presidenciales de Estados Unidos
5. La explosión masiva en el puerto de Beirut", 1. La pandemia de COVID-19 ,2. Incendios forestales sin precedentes en Australia,3. El asesinato de George Floyd y las protestas mundiales contra la brutalidad policial ,4. Elecciones presidenciales de Estados Unidos,5. La explosión masiva en el puerto de Beirut,,
Spanish,anthropic,2020," 1. Pandemia de COVID-19 
2. Incendios forestales en Australia
3. Explosión en Beirut, Líbano
4. Huracán Laura
5. Elección presidencial de Estados Unidos", 1. Pandemia de COVID-19 ,2. Incendios forestales en Australia,"3. Explosión en Beirut, Líbano",4. Huracán Laura,5. Elección presidencial de Estados Unidos,,
Spanish,anthropic,2020," 1. Pandemia de COVID-19
2. Protestas de Black Lives Matter 
3. Elecciones presidenciales en Estados Unidos
4. Incendios forestales en Australia
5. Explosión en Beirut", 1. Pandemia de COVID-19,2. Protestas de Black Lives Matter ,3. Elecciones presidenciales en Estados Unidos,4. Incendios forestales en Australia,5. Explosión en Beirut,,
Spanish,anthropic,2020," 1. Pandemia de COVID-19 
2. Incendios forestales en Australia  
3. Explosión en Beirut
4. Huracán Laura
5. Elecciones presidenciales de Estados Unidos", 1. Pandemia de COVID-19 ,2. Incendios forestales en Australia  ,3. Explosión en Beirut,4. Huracán Laura,5. Elecciones presidenciales de Estados Unidos,,
English,anthropic,610," 1. Umar becomes Caliph and successor to Muhammad
2. Heraclius arrives in Constantinople and overthrows Phocas
3. Second Persian sack of Antioch 
4. Death of Pope Boniface IV
5. Maya king Scroll Serpent ascends to the throne", 1. Umar becomes Caliph and successor to Muhammad,2. Heraclius arrives in Constantinople and overthrows Phocas,3. Second Persian sack of Antioch ,4. Death of Pope Boniface IV,5. Maya king Scroll Serpent ascends to the throne,,
English,anthropic,610," 1. Muhammad's first revelation 
2. Accession of Heraclius as Byzantine Emperor
3. Overthrow of Khosrau II, King of Persia
4. Uprising against Sui dynasty in China
5. Death of Pope Boniface IV", 1. Muhammad's first revelation ,2. Accession of Heraclius as Byzantine Emperor,"3. Overthrow of Khosrau II, King of Persia",4. Uprising against Sui dynasty in China,5. Death of Pope Boniface IV,,
English,anthropic,610," 1. Heraclius overthrows Phocas, becomes Emperor.
2. Muhammad receives the first Qur'anic revelation. 
3. Rebellion of Yangdi Putiyan in China.
4. Emperor Chai initiates Reforms in Japan.
5. Aredbe, king of the Visigoths, is assassinated."," 1. Heraclius overthrows Phocas, becomes Emperor.",2. Muhammad receives the first Qur'anic revelation. ,3. Rebellion of Yangdi Putiyan in China.,4. Emperor Chai initiates Reforms in Japan.,"5. Aredbe, king of the Visigoths, is assassinated.",,
English,anthropic,610," 1. Heraclius comes to power in Byzantine Empire 
2. Muhammad begins receiving revelations from angel Gabriel 
3. Sui dynasty launches major canal works in China
4. King Adaloald deposed, Gundemar installed as king of Lombards
5. Pope Boniface IV consecrates Pantheon in Rome", 1. Heraclius comes to power in Byzantine Empire ,2. Muhammad begins receiving revelations from angel Gabriel ,3. Sui dynasty launches major canal works in China,"4. King Adaloald deposed, Gundemar installed as king of Lombards",5. Pope Boniface IV consecrates Pantheon in Rome,,
English,anthropic,610," 1. Heraclius overthrows Phocas and becomes Byzantine Emperor 
2. Muhammad begins receiving revelations from the angel Gabriel
3. Pope Boniface IV consecrates the Pantheon in Rome as a church
4. Śaṅkara, Hindu philosopher and theologian, is born 
5. Maya king Scroll Serpent ascends to throne of Palenque", 1. Heraclius overthrows Phocas and becomes Byzantine Emperor ,2. Muhammad begins receiving revelations from the angel Gabriel,3. Pope Boniface IV consecrates the Pantheon in Rome as a church,"4. Śaṅkara, Hindu philosopher and theologian, is born ",5. Maya king Scroll Serpent ascends to throne of Palenque,,
English,anthropic,1848," 1. The Revolutions of 1848 in the German states
2. The French Revolution of 1848 
3. The Revolutions of 1848 in the Italian states
4. The Revolutions of 1848 in the Austrian Empire 
5. The Swiss civil war of 1847", 1. The Revolutions of 1848 in the German states,2. The French Revolution of 1848 ,3. The Revolutions of 1848 in the Italian states,4. The Revolutions of 1848 in the Austrian Empire ,5. The Swiss civil war of 1847,,
English,anthropic,1848," 1. Revolutions of 1848
2. California Gold Rush 
3. Seneca Falls Convention
4. Treaty of Guadalupe Hidalgo
5. Communist Manifesto published ", 1. Revolutions of 1848,2. California Gold Rush ,3. Seneca Falls Convention,4. Treaty of Guadalupe Hidalgo,5. Communist Manifesto published ,,
English,anthropic,1848," 1. Revolutions of 1848
2. California Gold Rush 
3. Treaty of Guadalupe Hidalgo
4. Seneca Falls Convention
5. Marx and Engels publish The Communist Manifesto", 1. Revolutions of 1848,2. California Gold Rush ,3. Treaty of Guadalupe Hidalgo,4. Seneca Falls Convention,5. Marx and Engels publish The Communist Manifesto,,
English,anthropic,1848," 1. The Revolutions of 1848 in Europe 
2. The Communist Manifesto published
3. Gold Rush in California
4. Seneca Falls Convention 
5. Treaty of Guadalupe Hidalgo", 1. The Revolutions of 1848 in Europe ,2. The Communist Manifesto published,3. Gold Rush in California,4. Seneca Falls Convention ,5. Treaty of Guadalupe Hidalgo,,
English,anthropic,1848," 1. The Revolutions of 1848 in Europe
2. The Seneca Falls Convention 
3. The California Gold Rush
4. The Communist Manifesto published 
5. The Treaty of Guadalupe Hidalgo", 1. The Revolutions of 1848 in Europe,2. The Seneca Falls Convention ,3. The California Gold Rush,4. The Communist Manifesto published ,5. The Treaty of Guadalupe Hidalgo,,
English,anthropic,1910," 1. Death of King Edward VII of UK
2. Great Fire of 1910 (UK/US forest fires)
3. Halley's Comet visible to naked eye
4. Mexican Revolution began
5. Japan annexed Korea", 1. Death of King Edward VII of UK,2. Great Fire of 1910 (UK/US forest fires),3. Halley's Comet visible to naked eye,4. Mexican Revolution began,5. Japan annexed Korea,,
English,anthropic,1910," 1. Death of King Edward VII 
2. Halley's Comet
3. Passing of the Mann Act
4. Death of Florence Nightingale 
5. Death of Mark Twain", 1. Death of King Edward VII ,2. Halley's Comet,3. Passing of the Mann Act,4. Death of Florence Nightingale ,5. Death of Mark Twain,,
English,anthropic,1910," 1. Death of King Edward VII 
2. Creation of Union of South Africa
3. Death of Florence Nightingale
4. Death of Leo Tolstoy 
5. Japan annexes Korea", 1. Death of King Edward VII ,2. Creation of Union of South Africa,3. Death of Florence Nightingale,4. Death of Leo Tolstoy ,5. Japan annexes Korea,,
English,anthropic,1910," 1. Death of Edward VII 
2. Unification of South Africa
3. Japan annexes Korea
4. Halley's Comet passes Earth 
5. Establishment of Boy Scouts ", 1. Death of Edward VII ,2. Unification of South Africa,3. Japan annexes Korea,4. Halley's Comet passes Earth ,5. Establishment of Boy Scouts ,,
English,anthropic,1910," 1. Death of Edward VII
2. Formation of Union of South Africa 
3. Fall of Jose Marti in Cuba
4. Beginning of Mexican Revolution 
5. First armed robbery of a motor vehicle", 1. Death of Edward VII,2. Formation of Union of South Africa ,3. Fall of Jose Marti in Cuba,4. Beginning of Mexican Revolution ,5. First armed robbery of a motor vehicle,,
Korean,anthropic,610," 610년에 일어난 중요한 5가지 역사적 사건:

1. 황태자 윤지의 난 
2. 수 현종의 즉위
3. 당 고조의 양위
4. 태종(太宗)의 즉위(중국)
5. 수 성덕왕의 즉위", 610년에 일어난 중요한 5가지 역사적 사건:,1. 황태자 윤지의 난 ,2. 수 현종의 즉위,3. 당 고조의 양위,4. 태종(太宗)의 즉위(중국),5. 수 성덕왕의 즉위,
Korean,anthropic,610," 610년에 일어난 중대한 역사적 사건 5가지:

1. 황위 계승 대립으로 시작된 유비의 난
2. 수도 강화의 포위전
3. 유비에 의한 황제 유종의 폐위 및 유비의 제위 찬탈 
4. 수도 강화의 함락과 유종의 처형
5. 유비의 황위 찬탈과 당나라 시대의 개막", 610년에 일어난 중대한 역사적 사건 5가지:,1. 황위 계승 대립으로 시작된 유비의 난,2. 수도 강화의 포위전,3. 유비에 의한 황제 유종의 폐위 및 유비의 제위 찬탈 ,4. 수도 강화의 함락과 유종의 처형,5. 유비의 황위 찬탈과 당나라 시대의 개막,
Korean,anthropic,610," 610년에 일어난 다섯 가지 중요한 역사적 사건:

1. 황태자 살해 사건 
2. 유유의 난
3. 순치의 변
4. 창왕의 즉위
5. 대완의 설치", 610년에 일어난 다섯 가지 중요한 역사적 사건:,1. 황태자 살해 사건 ,2. 유유의 난,3. 순치의 변,4. 창왕의 즉위,5. 대완의 설치,
Korean,anthropic,610," 610년에 일어난 중대한 5가지 역사적 사건:

1. 양제의 살해 (중국)
2. 레드 윌프의 왕위 계승(잉글랜드)
3. 히스토아시아의 분열(로마 제국) 
4. 유스티니아누스 1세의 황제 즉위(로마 제국)
5. 메카 성지의 정결화", 610년에 일어난 중대한 5가지 역사적 사건:,1. 양제의 살해 (중국),2. 레드 윌프의 왕위 계승(잉글랜드),3. 히스토아시아의 분열(로마 제국) ,4. 유스티니아누스 1세의 황제 즉위(로마 제국),5. 메카 성지의 정결화,
Korean,anthropic,610," 610년대 중대한 역사적 사건 5가지:

1. 황태자 유방의 난 
2. 수 왕조의 성립
3. 이란의 샤하르바르즈 왕조의 성립
4. 비잔틴 제국의 군주 프코카스의 암살
5. 프랑크 왕국의 클로타르 2세의 즉위", 610년대 중대한 역사적 사건 5가지:,1. 황태자 유방의 난 ,2. 수 왕조의 성립,3. 이란의 샤하르바르즈 왕조의 성립,4. 비잔틴 제국의 군주 프코카스의 암살,5. 프랑크 왕국의 클로타르 2세의 즉위,
Korean,anthropic,1848," 1848년 중대한 역사적 사건 다섯 가지:

1. 프랑스 2월 혁명

2. 아일랜드 대기근

3. 독일 3월 혁명

4. 오스트리아 제국의 혁명

5. 피에몬테의 독립", 1848년 중대한 역사적 사건 다섯 가지:,1. 프랑스 2월 혁명,2. 아일랜드 대기근,3. 독일 3월 혁명,4. 오스트리아 제국의 혁명,5. 피에몬테의 독립,
Korean,anthropic,1848," 1848년 중대한 5개의 역사적 사건:

1. 프랑스 2월 혁명

2. 독일 3월 혁명 

3. 아일랜드 위기

4. 선거 개혁운동 (차티스트 운동)

5. 미국-멕시코 전쟁", 1848년 중대한 5개의 역사적 사건:,1. 프랑스 2월 혁명,2. 독일 3월 혁명 ,3. 아일랜드 위기,4. 선거 개혁운동 (차티스트 운동),5. 미국-멕시코 전쟁,
Korean,anthropic,1848," 1848년의 주요 역사적 사건 다섯 가지:

1. 프랑스 2월 혁명
2. 서독 프랑크푸르트 의회 개최 
3. 오스트리아 제국의 국내 개혁 
4. 독일 국민의회 설립
5. 리얼리즘 미술 운동의 시작", 1848년의 주요 역사적 사건 다섯 가지:,1. 프랑스 2월 혁명,2. 서독 프랑크푸르트 의회 개최 ,3. 오스트리아 제국의 국내 개혁 ,4. 독일 국민의회 설립,5. 리얼리즘 미술 운동의 시작,
Korean,anthropic,1848," 1848년의 다섯 중대한 역사적 사건들:

1. 프랑스 2월 혁명

2. 독일 3월 혁명 

3. 오스트리아 제국의 메둥 혁명

4. 이탈리아의 독립 운동

5. 폴란드 1월 혁명", 1848년의 다섯 중대한 역사적 사건들:,1. 프랑스 2월 혁명,2. 독일 3월 혁명 ,3. 오스트리아 제국의 메둥 혁명,4. 이탈리아의 독립 운동,5. 폴란드 1월 혁명,
Korean,anthropic,1848," 1848년에 일어난 다섯 가지 중요한 역사적 사건:

1. 프랑스 2월 혁명

2. 독일 3월 혁명

3. 오스트리아 제국에서의 혁명

4. 이탈리아 반도의 독립 운동

5. 폴란드 1월 혁명", 1848년에 일어난 다섯 가지 중요한 역사적 사건:,1. 프랑스 2월 혁명,2. 독일 3월 혁명,3. 오스트리아 제국에서의 혁명,4. 이탈리아 반도의 독립 운동,5. 폴란드 1월 혁명,
Korean,anthropic,1910," 1910년에 일어난 중요한 역사적 사건 5가지:

1. 일본 병합 

2. 러일 전쟁

3. 갑오개혁

4. 일제의 조선 강점

5. 나산사건 (나산사 포위)", 1910년에 일어난 중요한 역사적 사건 5가지:,1. 일본 병합 ,2. 러일 전쟁,3. 갑오개혁,4. 일제의 조선 강점,5. 나산사건 (나산사 포위),
Korean,anthropic,1910," 1910년에 일어난 중요한 역사적 사건 5가지:

1. 한일 병합 조약
2. 멕시코 혁명
3. 보이스카우트 운동 시작 
4. 남아프리카 연방 설립
5. 핼리 혜성의 지구와의 충돌", 1910년에 일어난 중요한 역사적 사건 5가지:,1. 한일 병합 조약,2. 멕시코 혁명,3. 보이스카우트 운동 시작 ,4. 남아프리카 연방 설립,5. 핼리 혜성의 지구와의 충돌,
